epoch,step,test/Multiclass_Accuracy,test/Multiclass_F1_Score,test/Multiclass_Jaccard_Index,test/Multiclass_Jaccard_Index_Micro,test/loss,test/multiclassaccuracy_Mining,test/multiclassaccuracy_Non_mining,test/multiclassjaccardindex_Mining,test/multiclassjaccardindex_Non_mining,train/Multiclass_Accuracy,train/Multiclass_F1_Score,train/Multiclass_Jaccard_Index,train/Multiclass_Jaccard_Index_Micro,train/loss,train/multiclassaccuracy_Mining,train/multiclassaccuracy_Non_mining,train/multiclassjaccardindex_Mining,train/multiclassjaccardindex_Non_mining,val/Multiclass_Accuracy,val/Multiclass_F1_Score,val/Multiclass_Jaccard_Index,val/Multiclass_Jaccard_Index_Micro,val/loss,val/multiclassaccuracy_Mining,val/multiclassaccuracy_Non_mining,val/multiclassjaccardindex_Mining,val/multiclassjaccardindex_Non_mining
7,98,,,,,,,,,,,,,,0.08740776777267456,,,,,,,,,,,,,
7,99,,,,,,,,,,,,,,0.18212725222110748,,,,,,,,,,,,,
7,100,,,,,,,,,,,,,,0.050053007900714874,,,,,,,,,,,,,
7,101,,,,,,,,,,,,,,0.19248293340206146,,,,,,,,,,,,,
7,102,,,,,,,,,,,,,,0.1330113708972931,,,,,,,,,,,,,
7,103,,,,,,,,,,,,,,0.26303336024284363,,,,,,,,,,,,,
7,103,,,,,,,,,,,,,,,,,,,0.9497586488723755,0.9497586488723755,0.7063531875610352,0.9043242335319519,0.2267143428325653,0.5901369452476501,0.9785260558128357,0.4652441143989563,0.9474622011184692
7,103,,,,,,,,,,0.964197039604187,0.964197039604187,0.6933884620666504,0.9308691024780273,,0.7298423647880554,0.9729598164558411,0.4235472083091736,0.9632297158241272,,,,,,,,,
8,104,,,,,,,,,,,,,,0.05795003101229668,,,,,,,,,,,,,
8,105,,,,,,,,,,,,,,0.31217584013938904,,,,,,,,,,,,,
8,106,,,,,,,,,,,,,,0.11206851899623871,,,,,,,,,,,,,
8,107,,,,,,,,,,,,,,0.17836593091487885,,,,,,,,,,,,,
8,108,,,,,,,,,,,,,,0.010285701602697372,,,,,,,,,,,,,
8,109,,,,,,,,,,,,,,0.154642716050148,,,,,,,,,,,,,
8,110,,,,,,,,,,,,,,0.025445979088544846,,,,,,,,,,,,,
8,111,,,,,,,,,,,,,,0.21401163935661316,,,,,,,,,,,,,
8,112,,,,,,,,,,,,,,0.14272521436214447,,,,,,,,,,,,,
8,113,,,,,,,,,,,,,,0.12478165328502655,,,,,,,,,,,,,
8,114,,,,,,,,,,,,,,0.16692249476909637,,,,,,,,,,,,,
